# t, u(t), y(t)
# ================
8.200000000000000000e+01 2.500000000000000000e+00 2.144912399756146559e+00
8.300000000000000000e+01 -2.500000000000000000e+00 1.537772717468171235e+00
8.400000000000000000e+01 -2.500000000000000000e+00 -1.481271126531973792e+00
8.500000000000000000e+01 -2.500000000000000000e+00 -1.907882715189711753e+00
8.600000000000000000e+01 -2.500000000000000000e+00 -1.458574890285184500e+00
8.700000000000000000e+01 -2.500000000000000000e+00 -2.395161112082052401e+00
8.800000000000000000e+01 -2.500000000000000000e+00 -1.277171220549886854e+00
8.900000000000000000e+01 2.500000000000000000e+00 -8.018203327150331683e-01
9.000000000000000000e+01 2.500000000000000000e+00 1.113404422045460418e+00
9.100000000000000000e+01 2.500000000000000000e+00 1.426483915857882367e+00
9.200000000000000000e+01 2.500000000000000000e+00 1.346128810496577621e+00
9.300000000000000000e+01 2.500000000000000000e+00 1.449854716921548103e+00
9.400000000000000000e+01 2.500000000000000000e+00 1.138982111844290657e+00
9.500000000000000000e+01 2.500000000000000000e+00 1.671749223615023094e+00
9.600000000000000000e+01 -2.500000000000000000e+00 6.216056312373158255e-01
9.700000000000000000e+01 -2.500000000000000000e+00 -1.075796351178402110e+00
9.800000000000000000e+01 -2.500000000000000000e+00 -1.311425304341549802e+00
9.900000000000000000e+01 -2.500000000000000000e+00 -1.904750749956336531e+00
1.000000000000000000e+02 2.500000000000000000e+00 -2.222706501962920189e+00
1.010000000000000000e+02 2.500000000000000000e+00 2.143541596581892250e+00
1.020000000000000000e+02 2.500000000000000000e+00 8.868783365166640342e-01
1.030000000000000000e+02 2.500000000000000000e+00 1.551135220072925369e+00
1.040000000000000000e+02 2.500000000000000000e+00 2.086080527507694793e+00
1.050000000000000000e+02 2.500000000000000000e+00 1.749259915869052717e+00
1.060000000000000000e+02 -2.500000000000000000e+00 1.204353465427627334e+00
1.070000000000000000e+02 -2.500000000000000000e+00 -1.791277324041508523e+00
1.080000000000000000e+02 -2.500000000000000000e+00 -1.603191041754854496e-01
1.090000000000000000e+02 -2.500000000000000000e+00 -1.202519856474705495e+00
1.100000000000000000e+02 -2.500000000000000000e+00 -8.521064411021425089e-01
1.110000000000000000e+02 -2.500000000000000000e+00 -2.177732264871711010e+00
1.120000000000000000e+02 -2.500000000000000000e+00 -1.412238322841546490e+00
1.130000000000000000e+02 -2.500000000000000000e+00 -1.907335022949596004e+00
1.140000000000000000e+02 2.500000000000000000e+00 -1.273130394416643663e+00
1.150000000000000000e+02 2.500000000000000000e+00 1.202661402283197178e+00
1.160000000000000000e+02 2.500000000000000000e+00 1.753797826300335316e+00
1.170000000000000000e+02 2.500000000000000000e+00 1.348421317197409319e+00
1.180000000000000000e+02 2.500000000000000000e+00 1.132551336413311072e+00
1.190000000000000000e+02 2.500000000000000000e+00 1.590523974028604792e+00
1.200000000000000000e+02 2.500000000000000000e+00 8.801950147507981992e-01
1.210000000000000000e+02 2.500000000000000000e+00 1.371778138427164784e+00
1.220000000000000000e+02 -2.500000000000000000e+00 1.449103073584373735e+00
1.230000000000000000e+02 -2.500000000000000000e+00 -1.962297343591365539e+00
1.240000000000000000e+02 -2.500000000000000000e+00 -1.181709785670136403e+00
1.250000000000000000e+02 -2.500000000000000000e+00 -2.429617474946556221e+00
1.260000000000000000e+02 -2.500000000000000000e+00 -8.714515789277593738e-01
1.270000000000000000e+02 -2.500000000000000000e+00 -1.565251964326080492e+00
1.280000000000000000e+02 2.500000000000000000e+00 -2.160488249468793143e+00
1.290000000000000000e+02 2.500000000000000000e+00 2.315875514623592313e+00
1.300000000000000000e+02 2.500000000000000000e+00 6.876630895553279554e-01
1.310000000000000000e+02 2.500000000000000000e+00 1.162231839961815449e+00
1.320000000000000000e+02 -2.500000000000000000e+00 1.893796038979203011e+00
1.330000000000000000e+02 -2.500000000000000000e+00 -8.406609039064165678e-01
1.340000000000000000e+02 -2.500000000000000000e+00 -1.818172626377255963e+00
1.350000000000000000e+02 -2.500000000000000000e+00 -6.708707857163771493e-01
1.360000000000000000e+02 -2.500000000000000000e+00 -1.566654669194794680e+00
1.370000000000000000e+02 -2.500000000000000000e+00 -1.307175382944751441e+00
1.380000000000000000e+02 -2.500000000000000000e+00 -1.754885154314640872e+00
1.390000000000000000e+02 -2.500000000000000000e+00 -7.661108402246910032e-01
1.400000000000000000e+02 2.500000000000000000e+00 -1.076422764127020537e+00
1.410000000000000000e+02 2.500000000000000000e+00 1.477954526530043999e+00
1.420000000000000000e+02 2.500000000000000000e+00 2.193152706943009012e-01
1.430000000000000000e+02 2.500000000000000000e+00 1.445626438070419129e+00
1.440000000000000000e+02 2.500000000000000000e+00 1.713857458177443505e+00
1.450000000000000000e+02 2.500000000000000000e+00 1.375831381242447637e+00
1.460000000000000000e+02 2.500000000000000000e+00 1.884988756180995928e+00
1.470000000000000000e+02 2.500000000000000000e+00 9.767544933775818006e-01
1.480000000000000000e+02 -2.500000000000000000e+00 1.212614636627152631e+00
1.490000000000000000e+02 -2.500000000000000000e+00 -7.639519830795112876e-01
1.500000000000000000e+02 -2.500000000000000000e+00 -2.247305220453402974e+00
1.510000000000000000e+02 -2.500000000000000000e+00 -1.566272669097829473e+00
1.520000000000000000e+02 -2.500000000000000000e+00 -1.274476429425981827e+00
1.530000000000000000e+02 -2.500000000000000000e+00 -2.068205468319299634e+00
1.540000000000000000e+02 -2.500000000000000000e+00 -1.796579014090466497e+00
1.550000000000000000e+02 2.500000000000000000e+00 -2.087076484408791011e+00
1.560000000000000000e+02 2.500000000000000000e+00 1.587700651991704737e+00
